Education,British Hellenic College,"Rethumnou 2, Athens,",www.elea.gr,9am-5pm,,,,
Communities,Afghan M&R Community,"Chalkokondili 35, Athina 104 32, Greece",,,,,"37.9863174,23.726800400000002",
Communities,"Ethiopian Socio-Cultural Center ""Aithiops""","Skirou 22, Athina 113 62, Greece",,,,,"37.9999399,23.741663300000027",
Communities,Ghanian Community in Greece,,,,,,,
Communities,Association of Cameroonians of Greece,"Sirou 22, Athina 113 61, Greece",,,,,"38.0003136,23.736616599999934",
Communities,Congolese Community in Greece,"Skirou 51, Athina 113 63, Greece",,,,,"37.9993255,23.74274390000005",
Communities,Union of Guinea of Greece,,,,,,,
Communities,Kenyan Community in Greece (KCG),,,,,,,
Communities,Union of Madagascar,,,,,,,
Communities,Nigerian Women Organisation of Greece,"I. Drossopoulou 197, Athina 112 55, Greece",,,,,"38.0103954,23.736111100000016",
Communities,Nigerian Community of Greece,,,,,,,
Communities,Association of Senegalese of Athens,"Akominatou 51, Athina 104 38, Greece",,,,,"37.9882879,23.72380659999999",
Communities,Unione of Sierra Leonese,,,,,,,
Communities,Tanzanian Community in Greece,,,,,,,
Communities,Zanzibar Association in Greece,,,,,,,
Communities,African Network in Greece,,,,,,,
Communities,United African Women Organization Greece,,,,,,,
Communities,Bangladeshi Community of Greece,,,,,,,
Communities,Greek Indian Cultural Company,,,,,,,
Communities,Greek Pakistan Association of Greece,,,,,,,
Communities,Federation of Albanian Communities in Greece,"Deligiorgi 55-59, Athina 104 37, Greece",,,,,"37.9847507,23.722021600000062",
Communities,"Georgian Cultural Center ""Caucasus""","28is Oktovriou 81, Athina 104 34, Greece",,,,,"37.99312709999999,23.731459500000028",
Communities,"Greek Georgian Union ""Dioskouria""",,,,,,,
Communities,Hellenic Moldovans Association «ΟΡΦΕΥ»,,,,,,,
Communities,Romanian Women Network,,,,,,,
Communities,Association of Russian speaker and friends of Russia of the Municipality of Trikala,,,,,,,
Communities,Ukrainian Community `The land of stork`,,,,,,,
Communities,United Ukraine Union,,,,,,,
Communities,"Egyptian Community in Greece ""El Rapta""",,,,,,,
Communities,Association of Moroccans in Greece,,,,,,,
Communities,Palestinian Workers Union in Greece,"3is Septemvriou 48b, Athina 104 33, Greece",,,,,"37.9890174,23.729318199999966",
Communities,Somalian Community in Greece,,,,,,,
Communities,Greek Soudanese Frienship League,,,,,,,
Communities,Sudanese Community,,,,,,,
Communities,Association of Free Expats of Syria,,,,,,,
Communities,Syrian House in Greece,,,,,,,
Communities,Arab Association in Ambelokipi - Athens,,,,,,,
Communities,"Migrant Women Network ""Dimitra""",,,,,,,
Education,Orange House,"Mpotasi 13, Athina 106 82, Greece",http://www.zaatarngo.org,,,,"37.98695449999999,23.73264359999996",
Education,Khora Community Center,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,,,,"37.9853236,23.741871400000036",
Education,Melissa,"Feron 18, Athina 104 34, Greece",https://www.facebook.com/Melissanetworkgreece33/,,,,"37.992456,23.729663999999957",
Education,Steki Metanaston,"Tsamadou 13, Athina 106 83, Greece",http://tsamadou13-15.espivblogs.net/,,,,"37.9874639,23.735127499999976",
Education,Diadromes,"Mezonos 45, Athina 104 38, Greece",http://www.diadromes.org,,,,"37.9877227,23.722333299999946 ",
Education,Generation 2.0,"Plateia Eleftherias 14, Athina 105 53, Greece",http://www.g2red.org,,,,"37.9795777,23.722142500000018",
Education,Kyriakatiko Sxoleio Metanaston,"Argous 145, Athina 104 41, Greece",http://www.ksm.gr,,,,"37.9878444,23.70825160000004",
